MasterID,ID,Mag,Magerr,RA,Dec,FWHM,Var,FrameID,MJD,airmass,exposure,X,Y,Flux,Area,Flags,Theta,Elong,MuMax,Blend
1143045009131,5120814304511005927,19.890486,0.25998908783014,168.6389,42.7911,3.85,0,5120814304511,53712.447365324,1.21,30,2084.18,738.545,436.299988,5,0,-51.9,1.373,0.96,0
1143045009131,5120814304521005681,20.815929,0.430977351523181,168.63912,42.79163,0.24,0,5120814304521,53712.456841493,1.18,30,2088.01,720.156,186.399994,2,0,90,1.995,1.17,0
1143045009131,5120814304541005881,19.941949,0.265815436425498,168.63971,42.79106,4.05,0,5120814304541,53712.4758376852,1.12,30,2078.85,739.346,419.600006,4,0,-69.6,1.148,0.95,0
1143045009131,5123014304511005950,20.670648,0.392198817399348,168.63818,42.79179,2.89,0,5123014304511,53734.414790486,1.12,30,2060.02,714.692,217.300003,3,0,0,2.939,0.67,0
1143045009131,5123014304531006064,20.39315,0.33533164961437,168.6389,42.79131,1.94,0,5123014304531,53734.4324919446,1.08,30,2075.03,718.407,281.700012,3,0,2.9,1.36,1.17,0
1143045009131,5123014304541005927,20.048831,0.278034797015852,168.63925,42.79103,3.95,0,5123014304541,53734.4415862616,1.07,30,2050.84,714.027,387.899994,5,0,13,2.562,0.63,0
1143045009131,5061014304521004481,20.779755,0.493105611729669,168.63907,42.79154,2.35,0,5061014304521,53531.1951011923,1.3,25,2080.5,645.641,150.199997,2,0,0,2,0.75,0
1143045009131,6020314304531003829,19.325811,0.315626431187405,168.63892,42.79034,2.08,1,6020314304531,53769.3655073033,1.04,30,2099.46,725.755,312,4,0,-57.8,2.498,1,0
1143045009131,6052814304521004729,20.600326,0.413548070009352,168.63897,42.79056,2.91,0,6052814304521,53883.1648893864,1.08,30,2067.05,599.605,199.300003,3,0,0,2.985,0.71,0
1143045009131,7041214304531006214,20.223408,0.313441563454611,168.63852,42.79124,3.35,0,7041214304531,54202.142253588,1.1,30,2127.4,728.879,315.700012,3,0,69.7,1.663,0.84,0
1143045009131,7041914304511005872,20.530567,0.365080846651141,168.63907,42.79121,1.46,0,7041914304511,54209.2615436688,1.07,30,2080.52,674.13,244.5,2,0,-44.4,1.085,0.66,0
1143045009131,7121814304531006843,20.397039,0.330128472827742,168.63964,42.79166,0.79,0,7121814304531,54452.3836571411,1.39,30,2048.5,768.168,289.200012,4,0,-37.4,1.027,1.02,0
1143045009131,7121814304541006963,20.22257,0.299846112549409,168.63864,42.79155,3.41,0,7121814304541,54452.3902501734,1.35,30,2076.75,764.322,340.5,5,0,20.2,1.727,0.68,0
1143045009131,7022714304531005113,19.790143,0.239834176405968,168.63912,42.79104,2.8,0,7022714304531,54158.2154197684,1.26,30,2034.57,752.976,503.799988,4,0,-68.9,1.676,0.9,0
1143045009131,7022714304541005042,19.789175,0.239149777488606,168.64071,42.79062,2.54,0,7022714304541,54158.2224968518,1.23,30,2054.66,749.409,506.399994,2,0,-43.2,1.687,1.01,0
1143045009131,7061114304511005261,20.209138,0.216175152460317,168.6386,42.79136,4.48,0,7061114304511,54262.1958111688,1.31,60,2023.64,579.241,609,5,0,34,1.954,0.71,0
1143045009131,7061114304531005297,20.17276,0.214621771571895,168.63924,42.79132,3.78,0,7061114304531,54262.2119207639,1.4,60,2010.83,585.277,617.200012,5,0,-13.9,2.564,0.78,0
1143045009131,7031014304511005974,20.446083,0.353939350427921,168.63915,42.7911,3.18,0,7031014304511,54169.2905147802,1.03,30,2117.25,694.702,257.399994,4,0,-88.9,1.626,0.85,0
1143045009131,7031014304521005238,20.208943,0.32999287208002,168.63914,42.79057,0.59,0,7031014304521,54169.2959979167,1.02,30,2116.56,675.168,289.399994,3,0,50,1.019,0.65,0
1143045009131,7031014304531006284,20.808569,0.419803884533652,168.63893,42.79125,2.87,0,7031014304531,54169.3014649768,1.02,30,2105.01,699.588,194.5,2,0,90,2.911,0.88,0
1143045009131,7031014304541006048,20.514666,0.356697958936995,168.63938,42.7908,-0.71,0,7031014304541,54169.3070210419,1.02,30,2126.52,696.173,254.100006,3,0,-44.9,1.019,0.78,0
1143045009131,7031714304511006337,20.306731,0.315745792171007,168.63898,42.79161,2.56,0,7031714304511,54176.2094672918,1.11,30,2097.83,728.072,311.799988,4,0,-19.6,1.737,0.83,0
1143045009131,7031714304521006651,19.848739,0.248101350720965,168.63894,42.79152,4.4,0,7031714304521,54176.2169993748,1.1,30,2106.01,708.244,474.100006,5,0,-89.8,1.328,0.94,0
1143045009131,7031714304531006679,20.30826,0.316164545459042,168.63884,42.79148,3.35,0,7031714304531,54176.2245574999,1.08,30,2095.8,731.325,311.100006,5,0,17.9,1.569,0.98,0
1143045009131,7031714304541006822,20.929492,0.447225301815324,168.63955,42.79139,2.52,0,7031714304541,54176.2320755902,1.07,30,2117.38,726.971,175.600006,2,0,-40,1.674,0.65,0
1143045009131,8120514304511007154,20.239082,0.298568626541688,168.63887,42.79161,3.4,0,8120514304511,54805.480261493,1.13,30,2074.37,644.398,343,4,0,-74.8,1.599,0.69,0
1143045009131,8120514304531006943,20.028491,0.266721642370951,168.63898,42.79171,3.58,0,8120514304531,54805.495520243,1.09,30,2063.5,642.577,417.100006,5,0,85.7,1.573,0.95,0
1143045009131,8020714304511006811,20.599996,0.364720445658218,168.63895,42.79127,0.85,0,8020714304511,54503.3210918289,1.1,30,2085.48,750.229,244.899994,4,0,48.1,1.008,0.74,0
1143045009131,8011514304511007689,20.049729,0.270516659755215,168.6389,42.79118,4.73,0,8011514304511,54480.3560173032,1.17,30,2076,806.217,406.899994,5,0,-26.2,2.104,0.64,0
1143045009131,8011514304521007281,20.19428,0.291981726979933,168.63953,42.79153,3.71,0,8011514304521,54480.365405729,1.14,30,2076.04,785.222,356.399994,6,0,-1.1,1.585,0.77,0
1143045009131,8062514304511003898,20.893023,0.469367199667371,168.63869,42.79196,-0.01,0,8062514304511,54642.1620733799,1.34,30,2109.53,587.595,162.5,2,0,0,1.999,0.81,0
1143045009131,8062514304521004184,20.577516,0.395432153561504,168.63949,42.79166,2.54,0,8062514304521,54642.1674675234,1.38,30,2107.36,568.897,214.399994,3,0,-43.7,1.728,0.72,0
