SDSS_NAME,RA,DEC,MagAve,Sigma
103439.69+532850.1,158.6654,53.480634,20.133261082568804,0.36390313473836305
084007.63+441604.3,130.0318,44.267887,19.68420181226053,0.3041654917972482
002838.52-034328.7,7.160507,-3.724645,19.864097329268294,0.31675141005584523
001257.81+254337.0,3.240913,25.726951,18.737927141868507,0.22617175236575998
094555.44+404950.2,146.48101,40.830634,19.729423711934164,0.34327248406030714
145302.38+470832.7,223.25992,47.142439,18.905971650273226,0.18865545140930082
013753.96+024207.0,24.474855,2.701947,0,0
100206.79+423144.6,150.52829,42.529078,18.21561204918034,0.09038609999812927
081100.33+571134.9,122.75139,57.193049,20.17233945555556,0.26104074229784996
231201.18+255807.3,348.00492,25.968719,16.44641119999999,0
095828.55+555025.0,149.61898,55.840298,20.06822315789474,0.29512990650069637
114342.43+271009.2,175.9268,27.169238,19.805840843749998,0.32544362207228766
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
081558.88+224139.3,123.99534,22.694275,19.844211116379324,0.39206386422279454
011432.12-015357.6,18.63387,-1.899342,19.44637501626016,0.3184471553651582
100950.90+254712.7,152.46211,25.786877,19.553008837628855,0.3144560290746008
221851.83+205114.0,334.71597,20.853903,18.771257139204543,0.300442516937457
012616.13+050209.9,21.56725,5.036112,18.613526491935477,0.21440027720895852
012446.05+250004.7,21.191887,25.001314,20.26513891764706,0.3992014191614811
002440.07+261147.1,6.166968,26.196427,19.24779572659177,0.30455050806590317
101251.66+445532.4,153.21524,44.925695,20.052665957746473,0.259609020356372
081558.88+224139.3,123.99534,22.694275,19.844211116379324,0.39206386422279454
224700.90+251832.6,341.75378,25.309076,17.91650386111111,0.27108148943311555
001213.29+242323.6,3.055415,24.389909,19.6484841577061,0.5953115449780696
140004.34+094853.1,210.01811,9.814761,20.36302486821706,0.3220076690667548
122333.58+492821.5,185.89002,49.472738,19.88616431496063,0.2591549843393904
142450.83+424629.7,216.21182,42.774939,19.152896330143538,0.41689345655306587
025306.51-021345.4,43.277135,-2.229287,19.79504481742738,0.3307397522775393
021640.73-044404.8,34.169737,-4.734692,16.446543402061863,0.09974927289593287
