SDSS_NAME,SDSS_ID,RA,DEC,Z,MagAve,Sigma
011205.49-030748.3,7875-56980-0288,18.022884,-3.1301037,1.3987195,19.885570982142852,0.5013748921149462
003102.28+140200.4,6196-56189-0542,7.7595089,14.033448,2.213,19.73870635460994,0.3163860842988734
011206.27+014432.6,7859-57282-0144,18.026161,1.7424007,1.2893333,19.52368749454545,0.3176822119931457
003819.14+225318.5,7615-56977-0924,9.5797585,22.888494,0.9651457,19.19010564534884,0.22858618203774422
002738.51+212916.4,7589-56946-0610,6.9104836,21.487913,1.1339823,20.339645343749996,0.3033783930816056
014512.93+341145.9,6604-56337-0666,26.303909,34.196106,2.052,19.202520256944446,0.2648081154081358
001604.09+271409.9,7694-57359-0304,4.0170524,27.236101,1.7165208,18.936301751054852,0.1996198863737496
025306.53+043351.4,8729-57399-0918,43.277246,4.5642793,1.3833684,18.652862709770105,0.24395539248037384
001605.71+242851.3,6881-56540-0880,4.0238196,24.480935,2.45,20.136969711538455,0.300213553517358
000015.03+064457.8,4535-55860-0361,0.062661894,6.7493982,2.359,18.880039183050847,0.1915188021549341
011210.40-034648.1,7915-57309-0039,18.043346,-3.7800389,2.17309,19.365240221402185,0.1895909641547191
000015.34+034812.4,8741-57390-0033,0.06392404,3.8034537,1.5336528,19.85911283606558,0.9774451058659764
024600.27-004001.5,6782-56576-0137,41.501159,-0.66708899,1.501,0,0
012423.94+230507.5,7684-57286-0331,21.099782,23.085427,1.2493502,20.05990482941177,0.36314038824180517
011622.74-001702.1,0695-52202-0165,19.094736,-0.28396066,1.5683,19.655953712264136,0.2834487461444634
025315.50+033425.3,8729-57399-0061,43.314611,3.5737157,1.9253868,19.760259076045617,0.42937649405458667
003451.14+142147.5,6197-56191-0467,8.7131023,14.363216,2.108,19.619993557103076,0.5479940558807456
005330.57+215227.9,7620-56904-0433,13.377376,21.874438,2.0107586,18.96110166472302,0.7590671426333914
002402.11+013542.7,7854-56989-0190,6.0088277,1.5952031,1.1122957,20.38722785238095,0.27547110543638437
005658.62+343037.0,6874-56550-0965,14.244251,34.510289,2.346,19.35650572727273,0.26827701716081376
013252.19+191429.8,7628-56978-0313,23.217461,19.241627,1.9628936,19.84722070552146,0.33086341990015034
003452.82+001351.9,3586-55181-0890,8.7201247,0.23110019,2.196,20.065426351351345,0.19746235647576513
011625.72-013003.8,7875-56980-0963,19.1072,-1.5010643,0.967531,18.295361152985073,0.14184909870965665
020606.93+021901.4,7833-57286-0641,31.528911,2.317064,1.7677002,20.331304700000004,0
002749.88+111111.7,6195-56220-0650,6.9578352,11.186589,1.925,20.36845880645162,0.3816391633007567
002409.76+020815.9,7854-56989-0850,6.0406787,2.1377676,0.8871972,20.221518514285705,0.2881346106850216
010038.30-023342.4,4372-55541-0294,15.159618,-2.5617882,2.234,19.239120007843137,0.23538319973550043
014529.03-011508.1,7843-56902-0164,26.370965,-1.2522715,1.0352834,19.827216247933887,0.348986002626019
014123.32+000752.8,7843-56902-0614,25.347189,0.13133795,0.9674997,16.336117357366778,0
001621.98+084403.6,4536-55857-0150,4.0916015,8.7343433,2.397,0,0
