N,SDSS_NAME,RA,DEC,MagAve,Sigma
1,103439.69+532850.1,158.6654,53.480634,20.133261082568804,0.363903134738363
2,084007.63+441604.3,130.0318,44.267887,19.68420181226053,0.3041654917972482
3,002838.52-034328.7,7.160507,-3.724645,19.864097329268294,0.3167514100558452
4,001257.81+254337.0,3.240913,25.726951,18.737927141868507,0.2261717523657599
5,094555.44+404950.2,146.48101,40.830634,19.729423711934164,0.3432724840603071
6,145302.38+470832.7,223.25992,47.142439,18.905971650273223,0.1886554514093008
7,013753.96+024207.0,24.474855,2.701947,0.0,0.0
8,100206.79+423144.6,150.52829,42.529078,18.21561204918034,0.0903860999981292
9,081100.33+571134.9,122.75139,57.193049,20.17233945555556,0.2610407422978499
10,231201.18+255807.3,348.00492,25.968719,16.44641119999999,0.0
11,095828.55+555025.0,149.61898,55.840298,20.06822315789474,0.2951299065006963
12,114342.43+271009.2,175.9268,27.169238,19.80584084375,0.3254436220722876
13,083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
14,081558.88+224139.3,123.99534,22.694275,19.844211116379324,0.3920638642227945
15,011432.12-015357.6,18.63387,-1.899342,19.44637501626016,0.3184471553651582
16,100950.90+254712.7,152.46211,25.786877,19.553008837628852,0.3144560290746008
17,221851.83+205114.0,334.71597,20.853903,18.771257139204543,0.300442516937457
18,012616.13+050209.9,21.56725,5.036112,18.61352649193548,0.2144002772089585
19,012446.05+250004.7,21.191887,25.001314,20.26513891764706,0.3992014191614811
20,002440.07+261147.1,6.166968,26.196427,19.24779572659177,0.3045505080659031
21,101251.66+445532.4,153.21524,44.925695,20.052665957746477,0.259609020356372
23,224700.90+251832.6,341.75378,25.309076,17.91650386111111,0.2710814894331155
24,001213.29+242323.6,3.055415,24.389909,19.6484841577061,0.5953115449780696
25,140004.34+094853.1,210.01811,9.814761,20.36302486821706,0.3220076690667548
26,122333.58+492821.5,185.89002,49.472738,19.88616431496063,0.2591549843393904
27,142450.83+424629.7,216.21182,42.774939,19.152896330143538,0.4168934565530658
28,025306.51-021345.4,43.277135,-2.229287,19.79504481742738,0.3307397522775393
29,021640.73-044404.8,34.169737,-4.734692,16.446543402061863,0.0997492728959328
31,083349.55+395047.3,128.45647,39.846474,19.52238377313433,0.258713911914583
32,111837.14+280054.9,169.65479,28.015255,19.33916163852242,0.3371188828714204
33,124058.54+624814.5,190.2438,62.804142,19.04207335000001,0.2894494369239648
34,012455.55+191221.6,21.231479,19.206003,19.766529500000004,0.3700470197869111
35,132658.39+455100.9,201.7433,45.850264,20.04457699090909,0.4133661548792373
36,132038.12+471543.2,200.15886,47.262086,0.0,0.0
38,015026.85+260524.4,27.611879,26.090132,19.74792908108109,0.303897108424574
39,235629.03+010930.7,359.121,1.158571,19.914691599526066,0.2014907129737464
40,150139.40+324809.9,225.41419,32.802753,20.14913256643356,0.377717663741844
41,134641.20+623100.5,206.67167,62.516892,19.99169481538461,0.338464095091445
42,015751.43+274029.6,29.464329,27.674895,0.0,0.0
43,134512.31+442450.3,206.30133,44.413979,19.456662153846136,0.2738763401022776
46,152022.67+322204.5,230.09449,32.367917,19.56034652272726,0.3094198931335474
47,011744.43+241726.7,19.435142,24.290775,20.060136597989946,0.3603981557374665
48,083239.13+434517.6,128.16305,43.754916,19.90001528048781,0.2201215414013272
49,021507.10-035725.3,33.779611,-3.957032,20.24728489795918,0.3177388827147147
50,121653.36+424048.8,184.22237,42.680225,20.02694377380953,0.3108937951070847
51,000716.86+215146.3,1.820267,21.86288,19.117694213414637,0.4585558347090746
52,142350.04+550316.2,215.95847,55.054594,20.110512543859645,0.3175375951215577
53,020835.75-020204.8,32.148995,-2.034675,18.98166823875433,0.1363679749033319
54,021642.27-025843.2,34.176164,-2.978688,20.043838451428567,0.3408725652424609
55,230020.05+202739.1,345.08357,20.460864,18.813604033132545,0.3151648644599508
57,010810.76-015457.5,17.044852,-1.915995,19.147766741035856,0.2448802352499819
58,013600.23+240543.0,24.000995,24.095301,19.89821491287879,0.2949514123753863
59,012822.63+021737.3,22.094301,2.293699,18.74986582195845,0.2189549902034683
60,004744.16+021803.2,11.934001,2.300903,19.51740178961037,0.2521644357473626
64,151334.90+485406.1,228.39543,48.901714,19.617865048192765,0.2325158327891398
68,082512.33+472815.8,126.3014,47.471193,0.0,0.0
69,095131.29+503251.0,147.8804,50.547513,20.02101288549619,0.3582294849403271
71,085450.39+492315.6,133.70998,49.387751,20.026897166666664,0.3066758948085343
73,212852.68+080308.6,322.21951,8.05239,20.056093854271356,0.4734567780688452
74,013201.54+235323.4,23.006452,23.889835,20.456606444444443,0.196050667885479
75,080608.54+382806.9,121.53561,38.468606,20.254195712962968,0.2849616782236928
77,001619.47+043737.4,4.081146,4.627068,20.314919965986405,0.286819466510515
79,235005.48+233814.2,357.52283,23.637289,19.798378751196168,0.2519871230540016
82,100047.91+372740.7,150.19963,37.461322,19.77570426515152,0.3074216719830254
83,225205.31+245250.0,343.02215,24.880565,19.49749889622641,0.3266156612210285
85,114156.80+044043.9,175.48671,4.678863,20.566085456666663,0.1989840942919009
87,015444.58+232610.3,28.685784,23.436201,18.196460865671632,0.0
88,124926.31+361801.3,192.35965,36.300367,19.64870835294117,0.292735284660101
89,073440.76+445337.6,113.66987,44.893802,19.474961707006354,0.4005710358901242
90,223100.05+240718.9,337.75023,24.121922,0.0,0.0
91,104614.80+375928.5,161.56169,37.991256,19.591702367647063,0.2619730738435618
92,111937.60+545513.7,169.90669,54.920573,20.050286324324325,0.3605082725564496
93,140726.61+282236.1,211.8609,28.376718,17.44115762295081,0.0
94,101528.86+533325.5,153.87024,53.557191,19.912339416666672,0.3640405729761093
96,115624.92+470435.1,179.10385,47.076432,19.033321225988704,0.231092668646399
97,012011.27+200529.9,20.046972,20.091642,0.0,0.0
98,235540.99+281108.4,358.92082,28.185669,19.730993378571423,0.41182841092611
102,225651.29+234711.9,344.21373,23.786648,19.336398244444453,0.2622433776593807
103,120132.12+372911.7,180.38384,37.486601,18.759968695792875,0.2929126079731
104,234006.85+222150.5,355.02855,22.364031,19.93972435135135,0.5450526286394832
105,114948.93+482459.5,177.45388,48.416621,19.29791969135802,0.2285219780407849
106,001116.58+133121.1,2.819126,13.522523,19.890563817258883,0.3738930153282624
107,224033.07+195411.4,340.1378,19.903176,19.949740982142853,0.2868462906937716
108,004621.65+204525.7,11.59024,20.757157,18.531153166233757,0.1077622242007256
109,002710.88+210309.1,6.795364,21.052549,19.477952980830658,0.2978736694257748
110,131727.04+421002.1,199.3627,42.167252,19.97858725625001,0.3525460553430894
111,142304.15+524630.1,215.7673,52.775047,18.448531,0.124603946809111
114,014915.96+023324.9,27.316533,2.556933,18.8979650801282,0.2532449745307397
115,025425.49+033811.3,43.606223,3.636494,18.48497594778068,0.1914927721031996
117,134128.52+492438.1,205.36886,49.410674,0.0,0.0
118,164931.65+483523.9,252.38192,48.590051,19.218062073059365,0.2209609491161585
120,142137.77+441355.5,215.4074,44.232092,19.48295141208791,0.3145389703781155
122,000926.13+320441.6,2.358901,32.07823,20.077477282758625,0.4218942635533543
123,021337.50+023511.9,33.40627,2.586665,19.33847694752188,0.2561238834587169
124,122124.32+350351.6,185.35135,35.064341,19.468367532374117,0.4457246798444532
128,002039.04+275403.7,5.162702,27.90104,0.0,0.0
132,123722.12+402719.4,189.34221,40.455398,20.01030472477064,0.5632177318114592
133,111856.02+495229.7,169.73344,49.874963,0.0,0.0
134,095503.98+561846.7,148.76655,56.312966,18.45876988888889,0.1694662584755875
137,003003.16-032100.0,7.513175,-3.350027,19.58902586842104,0.3058891926766706
138,134147.97+533646.0,205.44989,53.61286,19.42443953125,0.451890240242603
139,144553.76+131614.1,221.47404,13.270598,19.36483534770117,0.2655723146308535
143,144548.27+075256.0,221.45115,7.882236,19.542875437106925,0.2666053743632083
145,124652.20+562122.5,191.71753,56.356329,19.76942809523809,0.1835198147159368
147,084525.57+450156.7,131.35657,45.03244,19.565663687943257,0.3094132380761765
148,004135.96+282218.6,10.399846,28.371861,18.108607970394743,0.0685126176021547
149,074604.21+280624.9,116.51758,28.106937,19.73434463736264,0.6741627245027876
150,150717.62+571727.7,226.82338,57.291095,0.0,0.0
151,021742.25-015937.9,34.42605,-1.993883,18.950868131672586,0.1660810547261576
152,024650.75+020751.7,41.711468,2.131029,19.396106821782187,0.4896214278743551
153,004054.38+244623.3,10.22662,24.773161,19.74437241877256,0.3971145063273829
154,154121.37+063804.1,235.33906,6.634501,0.0,0.0
156,023931.87+002854.0,39.882825,0.481675,18.58666556269114,0.3172805533336182
157,125659.77+071253.6,194.24905,7.214896,20.154025280612245,0.401631023851468
160,145349.87+531745.8,223.4578,53.29613,0.0,0.0
