,SDSS_NAME,SDSS_ID,RA,DEC,Z,MagAve,Sigma,qSDSS_NAME,qRA,qDEC
0,011205.49-030748.3,7875-56980-0288,18.022884,-3.1301037,1.3987195,19.88557098214285,0.5013748921149462,103439.69+532850.1,158.6654,53.480634
1,003102.28+140200.4,6196-56189-0542,7.7595089,14.033448,2.213,19.73870635460994,0.3163860842988734,084007.63+441604.3,130.0318,44.267887
2,011206.27+014432.6,7859-57282-0144,18.026161,1.7424007,1.2893333,19.52368749454545,0.3176822119931457,002838.52-034328.7,7.160507,-3.724645
3,003819.14+225318.5,7615-56977-0924,9.5797585,22.888494,0.9651457,19.19010564534884,0.2285861820377442,001257.81+254337.0,3.240913,25.726951
4,002738.51+212916.4,7589-56946-0610,6.9104836,21.487913,1.1339823,20.33964534375,0.3033783930816056,094555.44+404950.2,146.48101,40.830634
5,014512.93+341145.9,6604-56337-0666,26.303909,34.196106,2.052,19.20252025694445,0.2648081154081358,145302.38+470832.7,223.25992,47.142439
6,001604.09+271409.9,7694-57359-0304,4.0170524,27.236101,1.7165208,18.93630175105485,0.1996198863737496,013753.96+024207.0,24.474855,2.701947
7,025306.53+043351.4,8729-57399-0918,43.277246,4.5642793,1.3833684,18.652862709770105,0.2439553924803738,100206.79+423144.6,150.52829,42.529078
8,001605.71+242851.3,6881-56540-0880,4.0238196,24.480935,2.45,20.136969711538452,0.300213553517358,081100.33+571134.9,122.75139,57.193049
9,000015.03+064457.8,4535-55860-0361,0.062661894,6.7493982,2.359,18.880039183050847,0.1915188021549341,231201.18+255807.3,348.00492,25.968719
10,011210.40-034648.1,7915-57309-0039,18.043346,-3.7800389,2.17309,19.365240221402185,0.1895909641547191,095828.55+555025.0,149.61898,55.840298
11,000015.34+034812.4,8741-57390-0033,0.06392404,3.8034537,1.5336528,19.85911283606558,0.9774451058659764,114342.43+271009.2,175.9268,27.169238
12,024600.27-004001.5,6782-56576-0137,41.501159,-0.66708899,1.501,0.0,0.0,083953.06+193830.1,129.97109,19.641699
13,012423.94+230507.5,7684-57286-0331,21.099782,23.085427,1.2493502,20.05990482941177,0.3631403882418051,081558.88+224139.3,123.99534,22.694275
14,011622.74-001702.1,0695-52202-0165,19.094736,-0.28396066,1.5683,19.655953712264136,0.2834487461444634,011432.12-015357.6,18.63387,-1.899342
15,025315.50+033425.3,8729-57399-0061,43.314611,3.5737157,1.9253868,19.760259076045617,0.4293764940545866,100950.90+254712.7,152.46211,25.786877
16,003451.14+142147.5,6197-56191-0467,8.7131023,14.363216,2.108,19.61999355710308,0.5479940558807456,221851.83+205114.0,334.71597,20.853903
17,005330.57+215227.9,7620-56904-0433,13.377376,21.874438,2.0107586,18.96110166472302,0.7590671426333914,012616.13+050209.9,21.56725,5.036112
18,002402.11+013542.7,7854-56989-0190,6.0088277,1.5952031,1.1122957,20.38722785238095,0.2754711054363843,012446.05+250004.7,21.191887,25.001314
19,005658.62+343037.0,6874-56550-0965,14.244251,34.510289,2.346,19.35650572727273,0.2682770171608137,002440.07+261147.1,6.166968,26.196427
20,013252.19+191429.8,7628-56978-0313,23.217461,19.241627,1.9628936,19.84722070552146,0.3308634199001503,101251.66+445532.4,153.21524,44.925695
21,003452.82+001351.9,3586-55181-0890,8.7201247,0.23110019,2.196,20.065426351351345,0.1974623564757651,081558.88+224139.3,123.99534,22.694275
22,011625.72-013003.8,7875-56980-0963,19.1072,-1.5010643,0.967531,18.295361152985077,0.1418490987096566,224700.90+251832.6,341.75378,25.309076
23,020606.93+021901.4,7833-57286-0641,31.528911,2.317064,1.7677002,20.331304700000004,0.0,001213.29+242323.6,3.055415,24.389909
